,k,g_0,fe,fo,zeta,nu,theta,delta USA,delta EUR,delta JAP,delta CHN,delta BRA,delta IND,delta CAN,delta KOR,delta RUS,delta MEX,delta ROW,eta USA,eta EUR,eta JAP,eta CHN,eta BRA,eta IND,eta CAN,eta KOR,eta RUS,eta MEX,eta ROW,T Non patent USA,T Non patent EUR,T Non patent JAP,T Non patent CHN,T Non patent BRA,T Non patent IND,T Non patent CAN,T Non patent KOR,T Non patent RUS,T Non patent MEX,T Non patent ROW,T Patent USA,T Patent EUR,T Patent JAP,T Patent CHN,T Patent BRA,T Patent IND,T Patent CAN,T Patent KOR,T Patent RUS,T Patent MEX,T Patent ROW
kappa,0.006970819427569719,0.0009691630888775116,-0.006299307243521346,-0.01690068129308442,-0.005025507074779001,0.014071332475844578,0.00011150886871535981,0.018611072257449512,-0.28169260301885823,0.027500189201052905,-0.03858244106180131,-0.050692458303543964,-0.040712780173662866,-0.0670359489530592,-0.07187560171903029,-0.04762955957402337,-0.04845761295830531,0.005458305637283667,-1.9826478696362404,-1.9031561335527136,-2.213675191081698,-2.1400480722554938,-2.970063739590012,-2.325524812299119,-2.6919349954703375,-2.3699437044908875,-2.9523170682229094,-3.0986689278213997,-1.7892361790437494,8.065559786718524e-06,-0.006941941567655263,-0.0007386947004889288,-0.00449332995411722,-0.00420852389978188,0.01016980074644458,-0.014106029242462736,-0.01175798978742204,-0.0026462335672505777,-0.00039913056898044363,-0.018150898718313768,-0.00020401938986336354,-0.00028462927476546884,-0.02056342985155002,-0.008966397166195184,-0.0030446425519548015,-0.023466085705496353,-0.00439930176870329,-0.011369889101958686,-0.003643738945133257,-0.007145878867428901,0.020367133279395322
rho,0.08321701622214128,-0.0029597238601508646,-0.3502158488937307,0.3886747065214258,0.09974155998426326,-0.22514090507577633,-0.006275724438543628,-0.337357256591842,-0.5687424188160706,-0.28539189490345174,-0.21083926575789447,-0.2905535099326845,-0.20705176453402252,-0.422907839571785,-0.4656721789865015,-0.266742965184657,-0.24758038283732853,-0.11931971495191152,0.42423436590392716,0.38556231529867646,0.5900285318126763,0.27770244750193074,0.35828819016799796,0.32952482269311467,0.4592428474767929,0.4825153238785551,0.3473486907202672,0.3539192696095961,0.27855716024330124,0.0015655709378958882,0.005031185890501666,-0.0005002871881149007,0.00047674501553851556,0.0008527636781230363,-0.00013683785793416892,-0.002793770416293917,-0.0011866586613923369,0.00015376704466385505,3.4659461046748774e-05,0.0062874728016981685,0.012459329676894892,0.013407520332469058,-0.0004986155181768703,0.010561209746220435,0.01298578750892676,0.019623762635812003,0.009156466544600894,0.008364919706664864,0.00948762488123256,0.010830048568141182,0.007798775873211206
sigma,0.30299717014903416,-0.00638567203097018,-0.9246662357233754,3.5620004515243195,-2.972242363031437,-2.3164798047490103,-0.10596798566931354,-2.7385262415481413,-2.854678027635679,-2.653490238295001,-2.4106085675767894,-2.454463889196135,-2.190910446523444,-2.8667977786679186,-3.2128796983937167,-2.3392666453198445,-2.168954462886744,-1.8515103038726877,0.672923434684618,0.7067887197531308,2.308508665825477,0.0870954628451559,2.7513094804684077,1.9947832170860524,3.1755281381832843,3.493822405609095,2.7132852620640335,2.53433932122164,0.9074853285265383,0.022654183576023,-0.016171370709969768,-0.09830439628455978,-0.02146172284643255,-0.0736930327701596,0.19518265534324675,0.011796490368667367,-0.01545599892746774,-0.006803941861024954,-0.44248450206562095,0.09263234628191008,0.19257716313567763,0.23380859116403085,0.29157927925174687,0.27658563342532805,0.36500057429844524,-0.07639464515147354,0.20163799697604068,0.2197814676606724,0.24543389245091474,1.0674667861219977,0.07917952375873227
GPDIFF,0.14560707069753098,-0.45724433658685226,-0.48772166894648195,0.4182587449503983,-0.9116807232121305,-0.010802074065962008,0.0038489013088260915,0.003461511170600451,-0.44634208603609615,-0.3276765669220094,-0.09426681629671418,-0.27328032296827176,-0.1835395160279063,-0.31847776076422474,-0.3298154787422336,-0.276594676071642,-0.27172428498138557,-0.24690618220751304,0.7011934635263095,0.6685267735321776,0.7261649146107085,0.6090591736464201,0.725663270458915,0.6869187564087376,0.7242501713391114,0.704163432164524,0.7098199714247522,0.7211991559192088,0.6404367588178428,0.0003841742815813287,-0.008522969992197371,-0.008510931997264826,-0.006368931482608753,0.0069072515428758585,0.0009672420569850626,-0.016276360903911824,-0.01718868503544302,-3.599702174506003e-05,0.011794551628401262,0.009846500379588896,-0.006981681490655922,-0.009207931021438243,-0.023702763169586305,-0.010080624661253923,-0.01951936557141043,-0.007367437422844958,-0.01816072938814084,-0.020674583277742187,-0.005415091158398888,-0.025231905885574335,-0.020539827336186756
GROWTH,0.10379546520553395,1.4540433500492256,-0.44557853424286364,0.5030885065991719,-1.0033510407609496,-0.18292137848666568,0.010582837215711294,-0.28812337018244594,-0.5825276495322856,-0.37344179761488516,-0.22691299014915622,-0.3233540656490552,-0.23308123084323784,-0.4535901847716789,-0.49612117259657196,-0.30286751350388663,-0.28753380940460704,-0.17433019175277398,0.5240784369806084,0.47846715373642046,0.6604574062978763,0.36713701399103904,0.44392039651069526,0.41455150868934143,0.5364278313776227,0.5531523347157907,0.4304670914213582,0.43932451758319946,0.3731258910935087,0.008357295090251071,0.01929008423105283,0.003967085651928048,0.014115862532535495,1.624788515105866,0.012718087422126656,0.017814492031049678,0.01908931195633623,1.0225979394374962,0.40002713670096,0.020394580982162624,0.0070582975213329124,-0.0096531189613136,0.005770736269474774,0.00417735416184728,-1.7928949572481245,0.009921793659907197,-0.008264270300570864,-0.006285676490343506,-1.2649216304210824,-0.5580373966246599,-0.0014250517619712744
KM,-0.09175171267941096,0.003165950283926522,0.7882716855030447,1.3067285860800226,-0.28417193889549,0.06705820171129417,-0.018090546599605628,-0.7219403609502845,-0.7296981784685819,-0.6618800291568777,-0.49633963075814136,-0.33720670587246204,-0.3371957101342221,-0.5391388884295628,-0.6001283362742837,-0.2886741823690636,-0.31140718700321923,-0.13123082728714264,-0.5998517577681894,-0.5553497755475201,-0.47260636079069496,-0.5149160283416526,-0.5333274188326487,-0.5343665292311689,-0.5499926270847477,-0.5057105831968206,-0.5388461258653227,-0.544285759318382,-0.5165192063695412,-0.006447563663508071,-0.01445301340169125,-0.014063612000599912,-0.01656620037548351,-0.018249578941694766,-0.037026565320892324,-0.016747959136875212,-0.010717976704632814,-0.023955980658980636,-0.02009481167739635,-0.33362249236121577,0.0289753147361127,0.02932877563093017,0.014522782705399528,0.0097031108415091,0.004606942328176933,0.028210876294516574,0.01919762962459659,0.021995191479075027,0.013125557833659762,0.007739086490584635,0.3639153721794519
SINNOVPATUS,0.057353840922821364,0.004571040057280706,-1.0231799550248155,-0.711594183372059,0.01526523958271242,-0.002984543857239008,-0.007860590316361438,0.17771825278391495,-0.16123022237603313,0.03787763065904004,0.10652380245083637,0.011945842886762481,0.040517278853096084,0.05037119405592039,0.062088605383827655,0.00223875993492606,0.00562221523706774,0.02944522706209929,0.28577661243538,0.25554132477121905,0.3155664901625177,0.2518104260504239,0.31205181942751015,0.29335621404319556,0.3013646714836804,0.2926032898350561,0.30455084685593437,0.3108515609287277,0.2644313511091523,-0.00941408615306838,-0.01174318907673444,-0.010941565282286958,-0.011482930703721195,-0.014195615494139169,-0.2707635791484697,-0.015267643095586703,-0.01189284919443201,-0.024659545017225448,-0.021006056099520665,-0.3321253557553733,0.007724366967835072,0.013988665315725068,0.005481759456675839,0.005808802183678852,0.010215429352420369,0.31817746286409765,0.0040806257074754715,0.005761571925935183,0.02622491306284891,0.02064857962462141,0.3707552132288938
OUT,0.027626905295520254,-0.020202141139378238,-0.620914267380337,0.9071065185248095,-0.12810516077193745,-0.29789681693191516,-0.4667934128039414,-0.1579149931445395,-0.5116026484583946,-0.3104835987001775,-0.16078652800365079,-0.21442026650161428,-0.18601955057005015,-0.17208267572413893,-0.27044919070938533,-0.21587944996608044,-0.1726336150427804,-0.12429218624876115,0.009860388019600208,0.05185440765084204,0.1729260812601885,-0.06531399149976858,0.6110807769238102,0.4186780474231111,0.6419059470254596,0.5349025913596339,0.5893982858465607,0.5935001514086424,0.06572874077903412,0.002489855724973067,-0.09107331184926626,0.01245144348069771,0.004860952045594447,0.10418492518016631,0.20357878805141505,-0.019201323381897728,0.017353328295830472,0.07963763696337445,0.08500226090941476,0.5401829397176539,1.059028359282732,1.2222515792974953,0.9286110932258218,0.6928967241623407,0.7427209659216083,0.6252624996340927,0.9914163389758823,0.9447356084662251,0.8535313662597499,0.7549367203653945,-0.0013257705466013237
TO,0.02473081305396807,0.007409211221170997,-0.8174213559195281,-0.9936564805967563,2.7975767957321773,1.3800486330421846,-0.08743959725204531,1.615648271334127,1.0602522238787304,1.2606069973621337,1.2986566272106692,1.163644682031173,1.1335592467120148,1.3713271765172208,1.4152641613196726,1.1161423231927425,1.0942383164333103,1.0058962088409862,1.0960445248366313,1.1039123739939893,0.9467742801358681,1.2439614581440717,1.3980392232922334,1.3622304427368692,1.2161845454730458,1.139904697905545,1.394705415674391,1.4007491899613067,1.2922209782463168,0.0703661417745216,-0.2555987801399945,-0.08366931573425163,-0.07014751054808699,-0.08179404372251453,-0.05710220477279371,-0.10904476889193881,-0.11713090615533439,-0.08762211274800924,-0.07789474342386749,-0.06895298758273438,-0.20028211562580778,0.3523962025553373,0.059496285135882676,0.011723361541052801,0.03896320510303086,0.0010087242200984559,0.07041790484321853,0.09320216496786937,0.051119262455546766,0.037596901037041386,0.027176000859995275
UUPCOST,0.20152485002530196,-0.0007372829931817648,-0.04172701943743806,0.2414975783600104,-0.04055075512645834,-0.01661469788617531,-0.00016903614088070729,-0.2340630610007277,-0.5839229098714416,-0.30273118098528673,-0.19283077164783446,-0.45999685374206123,-0.3417048034620662,-0.5434577117221445,-0.5714240472261145,-0.45719149924766167,-0.4572009912032837,-0.3542448077100052,0.9377538969115851,0.9188461601529252,0.9906716748334499,0.8679814684418907,1.0370688777068016,0.9885827269098901,0.9771747529344266,0.9654500969786894,1.0248378972748873,1.028172842868793,0.8869778026386999,0.000962128121643202,0.0068985381601105455,0.001764489713194095,0.0025825199747253613,0.012606025910539831,0.002491182764825517,0.00039744417637210816,0.004832575030856434,-7.0275170310774016e-06,0.011934945347463755,0.012037547408825233,0.0007659290097705718,0.0010675899992940163,-0.0013405549433215258,-0.006723492341828563,-0.020175059863377087,-0.0003341500071657455,-7.75075789871682e-05,0.002151971683549414,0.000156755009466103,-0.018198480906330694,-0.013394571820875556
