,k,g_0,fe,fo,zeta,nu,theta,delta USA,delta EUR,delta JAP,delta CHN,delta BRA,delta IND,delta CAN,delta KOR,delta RUS,delta MEX,delta ROW,eta USA,eta EUR,eta JAP,eta CHN,eta BRA,eta IND,eta CAN,eta KOR,eta RUS,eta MEX,eta ROW,T Non patent USA,T Non patent EUR,T Non patent JAP,T Non patent CHN,T Non patent BRA,T Non patent IND,T Non patent CAN,T Non patent KOR,T Non patent RUS,T Non patent MEX,T Non patent ROW,T Patent USA,T Patent EUR,T Patent JAP,T Patent CHN,T Patent BRA,T Patent IND,T Patent CAN,T Patent KOR,T Patent RUS,T Patent MEX,T Patent ROW
GPDIFF,0.14340561606219437,-0.45417676984258415,-0.5345050625002679,0.35956830240330584,-0.9267009914345964,-0.02661815252558819,0.002810126861023665,0.002669771858777592,-0.21464324636449872,-0.349457635019948,-0.10050344966885505,-0.2660203607485989,-0.18651827491694029,-0.30276757582420877,-0.3219278777195794,-0.2732340663691629,-0.2697688794170944,-0.2749252668744395,0.6923063645058658,0.6776727361820689,0.6675622212402688,0.5783656403782256,0.6935665672210234,0.6590426789383641,0.7054047333385183,0.6865243116775033,0.6813630834553608,0.6888190168335395,0.6185432226871956,2.7536153118790097e-05,-0.01734977418689665,-0.0029182573532626765,-0.011094328768042616,-0.011769574458810883,-0.011506862879990809,-0.019548838536366242,-0.0171447725674867,-0.00546823740112834,-0.007440103243502305,-0.09292733796119224,-0.005217461768766696,-0.006120826026616011,-0.03178714339542421,-0.0030564090844903413,0.01034349476706109,0.013122177632683973,-0.011274644765106867,-0.01863622763789652,0.004136547644592037,0.006561580838944092,0.1449786044831125
GROWTH,0.07895231575288597,1.4482131849508784,-0.37894860333683666,0.6386070578833103,-1.028088991023795,-0.17719572304719877,0.005599422894114747,-0.3518964981056377,-0.378509578631,-0.4388102344038808,-0.2584070939696992,-0.3109804930275961,-0.23597770080746594,-0.4401333748138714,-0.49484976250160295,-0.28910188416182425,-0.273477662222833,-0.18532646607180459,0.3906076786258683,0.38302978436758006,0.5257762655229781,0.24787686086905514,0.3109546473996727,0.286661868466499,0.41228700728169865,0.4318504688949665,0.30069753759027873,0.30529952399704463,0.2546086771155054,0.029933014782539402,0.0024334189749330992,0.0002427405552296591,0.004985803362643759,-0.3266629637596763,0.007292648536647572,-0.0044191790154829436,-0.004852699318517728,-0.12273750793268812,-0.30282533482628327,0.005423156438034704,-0.02267103557912098,-0.011471456920428835,-0.007745298351809482,-0.004112953580155954,0.494148235449583,0.0016954837780658316,-0.014210436392038672,-0.01666476881962864,0.17963900459870064,0.5113182837485242,-0.0025457353451308062
KM,-0.1108785401106499,0.0004345105599601329,0.886130530549587,1.1713982184041871,-0.27504341976881175,0.08056367164075762,-0.012986763223220565,-0.7066724578563166,-0.5005449072792306,-0.6036071355499295,-0.49984591079702656,-0.31030383233496994,-0.32787301954165904,-0.5163954976861179,-0.5604057956122016,-0.26280169389889974,-0.2867351791831618,-0.1575218831088787,-0.6862814823601127,-0.6189036348723637,-0.5829363478716187,-0.5970574795975547,-0.6379643431955168,-0.6304933616243558,-0.6448229958729484,-0.6015280233707121,-0.638773868190885,-0.6481567571036556,-0.5981003627765263,1.2163613027915687e-06,-0.03745845229235767,-0.019193156026305336,-0.02599666424163538,-0.029989055917036822,-0.3596118293551076,-0.028931640030397388,-0.02256633559403476,-0.03565346672238068,-0.031778477618877865,-0.0368571713957172,0.024320092441031393,0.02338544873853432,-0.014602778625897872,0.007117650369502515,0.009305010731083252,0.5695418118296258,0.01163613520145268,0.012395209556934628,0.015293144059504993,0.013265995055620206,0.019180765504629438
SINNOVPATUS,0.03182158343052577,4.924053537358475e-05,-0.9271726632199584,-0.783797207141092,0.04292180570844906,0.015273062986425057,-0.001513250310636316,0.21063621206402483,0.13135866898750237,0.11319665504002319,0.14179140561713544,0.08820054795825816,0.09393839795390102,0.14017838286497053,0.16127964912255988,0.0748066974938344,0.07842464751665057,0.043190448562108186,0.17081721389480609,0.17248203765306336,0.17379424213678663,0.1573137343808806,0.18146169918467847,0.1750191726967676,0.18169821113178553,0.1733739009477342,0.17945455659418963,0.1819911445534539,0.16438343726287163,-0.000877185816891557,-0.006032466717152407,-0.0021204812309927323,-0.002610806753814976,-0.0014726142958554345,0.0035643154641618047,-0.00575700971667259,-0.0023274692042141165,-0.0020459411821205364,-0.0013891970254437114,-0.0037034394017509964,0.002409852149722891,0.001919302589878935,-0.0007039368131839252,-0.0007432594608913767,-0.0030296631915599503,-0.009197426863589153,-0.0018174671154791433,0.0002549283159281046,-0.0026331303583082555,-0.003303305747473506,-6.568886611713065e-05
OUT,0.006102804637306836,-0.02261945724571779,-0.5803216278723328,0.8333092651901097,-0.10626550928661715,-0.2933714962563705,-0.46710910245167825,-0.12881054437647643,-0.23040194162841643,-0.27029152201779705,-0.13068092916681373,-0.1547085750146454,-0.14051430422785283,-0.09207276406161313,-0.18779817118542597,-0.159873750135211,-0.11532763600577756,-0.0941909381822642,-0.08106146439100681,-0.015481555086410137,0.03590534270782597,-0.14886598143218077,0.49226960794823693,0.3118698790234642,0.5328110011570997,0.4282100952933976,0.4763263364249126,0.4752464677177659,-0.02234868354593189,0.004244066830277893,-0.09288447208732176,0.01354790688500529,0.09818522542232366,0.10203908497965708,0.0018713895039590422,-0.0010935323059435564,0.03112971535484288,0.06448260048910082,0.05055144685017221,0.23398368238431555,1.061215818689426,1.220233172244325,0.9778901630748704,0.8100760969984488,0.8059703945919461,1.0114622702060516,0.9997369457039296,0.961978917506191,0.8737237853891788,0.8758653744471123,0.608397970987351
TO,0.03254561881628204,0.003319244338487737,-0.8496440652025383,-0.9228861362546315,2.8356710117981896,1.3906261100292894,-0.09188757012538684,1.638026639782555,1.3573314553506288,1.217047334486392,1.3246373804182243,1.1870317099457106,1.1518949079758145,1.4112561195035078,1.458501233140036,1.131632535342778,1.1115600419639327,0.9919121745759096,1.150084633833518,1.196468992945694,0.985057818938958,1.298066689875107,1.4610364962419053,1.4232425055812281,1.2880108496217335,1.205871983593848,1.459907361775814,1.4632890595421788,1.347302760464344,-0.10971713654367055,-0.19057700756908325,-0.08375951341563548,-0.08971390908262156,-0.07731252390708543,-0.06250242032823594,-0.11434421887936197,-0.6551871127200354,-0.09198878498063112,-0.07770308606836973,-0.07017575583013635,0.08903629296963533,0.22250551815475306,0.05827880395154472,0.04241643074542445,0.029729599199679324,0.008111243876303131,0.07737064159016094,1.137726149822108,0.05629694743446545,0.035180314488835185,0.02739782431302129
UUPCOST,0.18154502506696923,-0.0018951085041996052,0.007115307362602907,0.26658001395295505,-0.06433663743475926,-0.015210772520787286,-0.002326719659322407,-0.26844521949839106,-0.37071265967876244,-0.33715339800859057,-0.21863989781053417,-0.4542960205804025,-0.3406775927508038,-0.5431449956387496,-0.5658193087123531,-0.4545111587271866,-0.4535503834505755,-0.3851913192337836,0.8427639739622561,0.8492123414774566,0.8589633028404253,0.7692839990921341,0.9198304468878082,0.8779019000484456,0.8774568293852469,0.8684972887020304,0.9123350949587461,0.9109960553502172,0.791414133186481,0.0008514799694459008,0.000532505599616373,0.0019881191846782276,0.0007885193814261005,0.002182512529335101,0.0074164291701483975,0.0007124986480533391,0.004547969948814901,0.003780731257067016,0.0010497847889501255,0.1012250415758964,0.004739182222145422,0.004963806340237964,0.0018438258722930367,-0.0009400877609988534,-0.0009707585728657708,-0.006830864131328052,0.0039728251599235875,0.006615362723344509,-0.002662842535000043,0.0015365980828041526,-0.17630966928985914
DOMPATINUS,0.006019855499038718,0.001071689728734393,0.0659566776499887,-0.08142940949130095,-0.014691083933940363,-0.04754275022701704,-0.0008314720084384719,-0.012126636682664449,0.21781160003029654,0.06137936651945841,0.09569685417613161,0.0483166871018903,0.04659480266546501,0.08788313235858825,0.12196406008523786,0.03987324903287237,0.04747056181730325,0.009554492520348346,0.03696119751310678,0.022241640673758,0.027224738565756468,-0.050343299385455786,0.0069248847896918875,0.0033586862799095396,0.01344595842867169,0.016447432408309703,0.010509565968723766,0.0062951347485162845,-0.03251505092540741,3.3306690738754696e-15,-1.8866519457816366e-10,-5.662692537100611e-12,-8.980038934680579e-11,-6.578071420904053e-13,1.1046719095020308e-12,-5.481226583725629e-11,-3.797906433788967e-11,6.505906924303417e-13,-1.0103029524088925e-13,9.325873406851315e-12,0.0015497533905772798,0.0017669711405565725,0.0011349810545502326,0.001003203143660203,0.0009446285211822669,0.00041184920105297174,0.0014729803662960617,0.001369709848590972,0.0011173337270109496,0.0009147214587945651,0.0007598184424706389
TE,-0.13536884433767715,8.845306313731705e-05,0.45577588595708485,-1.9108661413960837,0.28017778601133414,1.1344313692926922,1.2271307548337007,1.1265847919203664,0.981111046907629,0.7754449169792699,0.8532794465944993,1.002254483934637,0.8601523135356182,0.990031648058658,1.4103701904519583,0.9733348030528988,0.8443501698803402,0.8131127158166873,-0.3360140992180066,-0.4450189756172779,-0.7524825354891929,-0.34638928259072166,-1.3349906090701724,-1.0988815465564854,-1.2674765554071732,-1.1972232957191198,-1.2986689964931268,-1.2646287827743852,-0.710686157854738,1.2365837661593426,1.1828876275347033,0.6610856665334397,0.5604543405390516,0.5302516024353365,0.22786971388954913,1.0888055549959463,0.7987410067350542,0.6447960510270556,0.5406701908539913,0.4366994668418456,-1.4865248766370531,-1.4385328803788937,-0.8822257061349281,-0.7978289323765791,-0.7525516393084103,-0.3438424115450367,-1.3287151933908785,-1.0607412028396483,-0.8739898351694547,-0.7195714781021517,-0.6085143210437277
SRGDP_USA,-0.0008992784772315909,0.00033635581126567615,0.0077722868892271535,0.03232548127913293,-0.003167733798917216,-0.0028231292227820504,-0.00019230936013303612,-0.012316655766628215,-0.0002203807254924639,-0.014085384728967365,-0.0008653329149738154,-1.709644131819843e-05,6.406009732229379e-05,-0.00013487918273991095,-0.001181734093353426,0.0005318573263479731,0.0003313668107018941,0.0013794336650341243,-0.006849763983991508,-0.006583364828221527,-0.0031302418834056045,-0.008896116950824484,-0.0077057195209223606,-0.007859082559003583,-0.007494337535831064,-0.0063689892638574275,-0.007804588073286323,-0.007626428707127042,-0.008458002109983931,1.1102230246251565e-15,2.220446049250313e-15,-1.0856870957809406e-11,1.2212453270876722e-14,-9.658035482473792e-10,-5.1546955592840504e-09,-9.606704320930248e-11,-6.349920589343583e-11,-2.379058061663386e-10,-3.2019276119399365e-10,-3.734407227895531e-10,0.00035835059375766143,0.0004085711902013234,0.00026245057761498103,0.00023198116193445806,0.00021843578355551507,9.516717434987498e-05,0.0003406002972361488,0.0003167233267054037,0.0002583701010816508,0.00021152003394142582,0.0001757038950200851
SRGDP_EUR,-0.00016694131393657496,-0.00012502008551185106,-0.00048677683277043027,0.005242535796033954,-0.0035556205101983096,0.001936734573593224,-5.479750775805314e-05,-0.006117559359237745,7.157672372026802e-05,-0.007073787038994195,-9.571544676290067e-06,0.00018340877624867247,0.00023068880515064727,-0.00010427622535946757,-0.00011149057979886745,0.0004166344276346212,8.845066711282712e-06,0.0007043002218365402,-0.0018609408842501507,0.0003645205708080468,-0.0005937598800020982,-0.0010615067659575095,-0.0007489907378693816,0.001179137342098846,-0.000631427306859722,-0.00030826586560839253,-0.0006912410348441922,0.00036168765953470405,-0.0005189756818724245,0.0,5.3290705182007514e-14,-6.034617250350038e-12,1.3322676295501878e-14,-5.601269448263224e-10,-2.8195645818129833e-09,-5.555500504073052e-11,-3.6570191319640344e-11,-1.3760770301018965e-10,-1.8710699656310226e-10,3.120836922221315e-12,0.0001021046309046536,0.00011641353886426842,7.478032159280446e-05,6.609885787045577e-05,6.223896130586049e-05,2.7097281217747238e-05,9.704716392167079e-05,9.02440485472944e-05,7.361766417468552e-05,6.0268319681533455e-05,5.006390515593928e-05
SRGDP_JAP,-0.0006181816670725038,5.718415864164328e-05,-0.012553538298895606,0.007651802571887467,-0.015609577548683085,-0.00434562267254357,-0.00019706994288992696,-0.014802301826266628,-0.0006015777459872362,-0.020149107199943228,-0.003242758222445352,-0.00259710603744856,-0.0024571553033153615,-0.00045514828089898707,-0.0005438394678419778,-0.002135415837670185,-0.0021125003426075706,0.0021456133704478297,-0.005852750316286959,-0.006017233083693285,-0.010151292571537462,-0.012100183770369366,-0.008209837878380699,-0.007976841417992042,-0.007142879736274921,-0.005456125965125347,-0.008230784302574734,-0.008209948765114383,-0.009646469934628255,1.1102230246251565e-15,-6.40161257337013e-10,0.0,-1.1708245484243207e-09,-8.034034548742852e-10,-7.193455831000506e-09,-8.192835299070111e-11,-5.668132629921274e-11,-2.038219593103463e-10,-2.4132862375125796e-10,-2.640637930539924e-08,0.0003672221720596447,0.0004186861127497554,0.00026894824652567983,0.00023772243220143707,0.0002238437479307187,9.749608874343174e-05,0.00034903242628780973,0.00032456432575211913,0.0002647664890387258,0.00021675703445800387,0.00018004418281369894
SRGDP_CHN,-0.0004419774123792797,-0.0004963711788563696,0.0014403233922499759,0.03929891406011632,0.001618422219293869,0.008434688224846498,-3.688804321499983e-05,-0.006810072105733478,-0.0012135138349195218,-0.010046590262351995,-8.192158230280189e-05,4.1889691219099134e-05,-8.10815367979778e-05,-0.0013980294943594096,-0.001558750339973325,0.0002905395904218011,-8.698580504507003e-05,0.0004857275121128435,-0.005772609241606608,0.0009892902599883957,0.012493437203227042,-0.0017087577619007144,-0.0008894083856575419,-0.0008216523642357032,0.0009807710572784512,-1.9177526828784153e-05,-0.0010053118979141962,-0.0003602447547695897,-0.0031340368205834412,0.0031687463494911583,-0.00024296295866976791,-0.00017352081184585089,0.5427746423971846,-0.00018838606717919149,-0.0001732381326974286,-0.00020338957475662944,-0.0001761526469112873,-0.00018829649938378878,-0.0001929450140852884,-9.103541786181779e-05,-0.005064623680869906,0.00014573934365991192,-8.806483104362162e-05,-0.6207103228737376,-0.0001069850779211734,-0.0001215597844317351,-9.373761947706338e-05,-7.808967250721999e-05,-9.992718034312897e-05,-0.00011140603600523491,-0.0001774602182669227
SRGDP_BRA,-0.0007714300082950487,3.424062938628403e-05,0.013889330136549471,0.041925192344022255,0.00042488627381320754,0.014087365762596171,9.823131730257728e-07,0.0035245061528244026,-0.0027944620453751456,-0.006604926162523395,-0.003588751529473022,-0.00211714458571155,-0.0022566881803670613,-0.0033368176918702197,-0.003777547062850939,-0.0017705035161824645,-0.001853813316065045,-0.0005808097919468569,-0.0029971424594793517,0.002473827688600494,0.006111065435092655,-0.0009262709016943926,0.0012670724748686801,0.000878547715127409,0.003914852592288298,0.001305379363332193,0.001055855550017304,0.0017598797120677023,-0.0023064635818631496,0.0008120324231608578,-0.0005437546351688693,-0.0003191399962454433,-0.0005503271023538092,0.543667395304378,-0.0003631311848012464,-0.00032605739400615175,-0.00027458414646019946,-0.0003121832925512269,-0.0002955897813916586,-0.0005096804200083183,-0.0014378821051280744,-0.00043981837329509776,-0.00030087827484370777,-0.00044527944112859874,-0.6291847779411841,-0.0003374528155203338,-0.0003207969018831358,-0.00028616832634054123,-0.0003297895483928004,-0.00032914941748229953,-0.00042153630466335024
SRGDP_IND,-0.0006984500474738198,-0.0005527575398794893,0.005194272608161077,0.04112656080606403,0.0013846613832979582,0.0032750641058854058,-5.5957435502462793e-05,-0.008440112171401726,-0.0002409451247070704,-0.010033864956629501,-0.0014176281004185665,0.0001605045921870829,0.00047247928851135157,-0.00024246992752996466,-0.00022524251456434996,0.00046126504590127126,0.00022671107341776242,0.0003675077477405253,-0.006534215809207988,-0.0030523593577225228,0.008286310019842702,-0.004572543029556786,-0.004828035547075893,-0.00418161442225895,-0.0032481885731638904,-0.003993948580416906,-0.004909499027905273,-0.004320975476028166,-0.004362772219286271,1.4781212213099693e-05,-5.318373325513548e-05,-5.66493994857975e-05,-5.1896027411513224e-05,-3.4804946133504266e-05,0.5378203667174208,-5.604884553700451e-05,-6.152317166663313e-05,-2.9167358923665176e-05,-3.0279794517307224e-05,-3.158746443909788e-05,0.00012684573473920047,7.822524650147322e-05,3.300848818499347e-05,2.779400360974904e-05,3.6595517368676056e-05,-0.6395552722729531,5.617269698166005e-05,4.4875311099312754e-05,5.1992819070090235e-05,3.7462831676826625e-05,2.644714010013871e-05
SRGDP_CAN,1.3648067120897167e-08,-0.0004425632660420842,0.007048312636718235,0.027041648731903623,3.3979242153314715e-06,0.010202140692413542,2.974489576867967e-07,9.003436995946856e-08,-3.49930695531242e-09,3.349114056083735e-06,-1.7738832625013856e-09,2.798987042140766e-08,2.489794814763968e-08,2.4742921489462333e-07,-5.965916149985873e-08,2.526563847027319e-08,1.857176301633956e-08,9.169273118558863e-09,-0.0021205806057217336,0.004428755902109449,0.015468237227628245,0.0004136720417913242,0.0029373921465891684,0.0030645957123431877,0.005579909371682401,0.0035753890239254016,0.002948057340831367,0.003687354990205005,-0.0004918313457685786,0.0,-2.7755575615628914e-15,0.0,-4.9960036108132044e-15,-1.6653345369377348e-15,-1.9984014443252818e-14,0.0,0.0,-5.551115123125783e-16,-5.551115123125783e-16,-1.071365218763276e-13,-5.54227205240565e-07,-6.318955070305776e-07,-4.0591204342188547e-07,-3.5878802151501077e-07,-3.378411811416626e-07,-1.473035127208533e-07,-5.267754688009774e-07,-4.898483563220424e-07,-3.9960133979555224e-07,-3.2714606301720295e-07,-2.7174993422196536e-07
